1966-02-01,-2.0
1966-03-01,11.0
1966-04-01,-10.0
1966-05-01,3.0
1966-06-01,-5.0
1966-07-01,6.0
1966-08-01,-9.0
1966-09-01,4.0
1966-10-01,-4.0
1966-11-01,-6.0
1966-12-01,20.0
1967-01-01,1.0
1967-02-01,9.0
1967-03-01,4.0
1967-04-01,-31.0
1967-05-01,7.0
1967-06-01,8.0
1967-07-01,6.0
1967-08-01,7.0
1967-09-01,-3.0
1967-10-01,-5.0
1967-11-01,18.0
1967-12-01,20.0
1968-01-01,-16.0
1968-02-01,-12.0
1968-03-01,-7.0
1968-04-01,29.0
1968-05-01,10.0
1968-06-01,-24.0
1968-07-01,38.0
1968-08-01,31.0
1968-09-01,-19.0
1968-10-01,-23.0
1968-11-01,29.0
1968-12-01,23.0
1969-01-01,9.0
1969-02-01,-34.0
1969-03-01,16.0
1969-04-01,-31.0
1969-05-01,5.0
1969-06-01,-37.0
1969-07-01,43.0
1969-08-01,13.0
1969-09-01,-23.0
1969-10-01,-18.0
1969-11-01,5.0
1969-12-01,-19.0
1970-01-01,21.0
1970-02-01,8.0
1970-03-01,5.0
1970-04-01,-22.0
1970-05-01,8.0
1970-06-01,27.0
1970-07-01,30.0
1970-08-01,35.0
1970-09-01,46.0
1970-10-01,-47.0
1970-11-01,-15.0
1970-12-01,4.0
1971-01-01,-42.0
1971-02-01,25.0
1971-03-01,10.0
1971-04-01,-22.0
1971-05-01,35.0
1971-06-01,-29.0
1971-07-01,121.0
1971-08-01,-52.0
1971-09-01,-11.0
1971-10-01,66.0
1971-11-01,-11.0
1971-12-01,19.0
1972-01-01,-49.0
1972-02-01,-25.0
1972-03-01,44.0
1972-04-01,36.0
1972-05-01,-81.0
1972-06-01,34.0
1972-07-01,107.0
1972-08-01,-14.0
1972-09-01,-31.0
1972-10-01,-61.0
1972-11-01,10.0
1972-12-01,65.0
1973-01-01,-24.0
1973-02-01,-25.0
1973-03-01,39.0
1973-04-01,-63.0
1973-05-01,37.0
1973-06-01,-7.0
1973-07-01,30.0
1973-08-01,92.0
1973-09-01,-92.0
1973-10-01,19.0
1973-11-01,25.0
1973-12-01,1.0
1974-01-01,-27.0
1974-02-01,-3.0
1974-03-01,-39.0
1974-04-01,-42.0
1974-05-01,-2.0
1974-06-01,46.0
1974-07-01,68.0
1974-08-01,105.0
1974-09-01,-96.0
1974-10-01,123.0
